                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.42108,                0.31765,                0.88568,                0.94918,                      1,                0.99262,                0.80933,                0.81958,                0.33363,                 1.4384,               0.032999,              0.0059991,              0.0059991
                     37,                  0.386,                0.29368,                0.89147,                0.99935,                      1,                  0.995,                0.83002,                0.77952,                0.36629,                 1.3425,               0.031126,              0.0061264,              0.0061264
                     38,                0.38395,                0.29578,                0.88823,                0.99529,                      1,                  0.995,                0.82934,                  0.758,                0.33538,                 1.3189,               0.029252,              0.0062516,              0.0062516
                     39,                0.42097,                0.31886,                0.89617,                0.99696,                      1,                  0.995,                0.83103,                0.76653,                0.31862,                 1.2897,               0.027375,              0.0063749,              0.0063749
                     40,                0.38225,                0.29548,                0.87694,                0.99703,                      1,                  0.995,                 0.8418,                0.71236,                0.29743,                 1.2459,               0.025496,              0.0064962,              0.0064962
                     41,                0.39889,                0.29849,                0.87492,                0.99708,                      1,                  0.995,                0.81346,                0.76565,                0.31744,                 1.2827,               0.023616,              0.0066155,              0.0066155
                     42,                0.42192,                0.31011,                0.87304,                0.99711,                      1,                  0.995,                0.82045,                0.73305,                0.30204,                 1.2611,               0.021733,              0.0067329,              0.0067329
                     43,                0.37482,                0.30231,                 0.8974,                  0.997,                      1,                  0.995,                0.81855,                0.75007,                0.28745,                 1.2756,               0.019848,              0.0068482,              0.0068482
                     44,                0.38606,                 0.3427,                0.85704,                0.99708,                      1,                  0.995,                0.80397,                 0.7503,                0.29636,                 1.2767,               0.017962,              0.0069616,              0.0069616
                     45,                0.35012,                0.31613,                0.88521,                0.99655,                      1,                  0.995,                0.79624,                0.77486,                 0.3166,                 1.2944,               0.016073,               0.007073,               0.007073
                     46,                0.38047,                0.29898,                0.89191,                0.99694,                      1,                  0.995,                0.82417,                0.76848,                0.29491,                 1.3136,               0.014182,              0.0071824,              0.0071824
                     47,                 0.3875,                0.30225,                0.90961,                0.99671,                      1,                  0.995,                   0.82,                0.79542,                 0.3052,                 1.3146,                0.01229,              0.0072898,              0.0072898
                     48,                0.40648,                0.30538,                0.88538,                0.99701,                      1,                  0.995,                0.82535,                0.76848,                0.31141,                 1.2994,               0.010395,              0.0073953,              0.0073953
                     49,                 0.4217,                0.30859,                0.87364,                0.99765,                      1,                  0.995,                0.82103,                0.84497,                0.32659,                 1.3513,              0.0084988,              0.0074988,              0.0074988
                     50,                0.47717,                0.35896,                0.91434,                0.99794,                      1,                  0.995,                0.83079,                0.79768,                0.30437,                 1.3426,               0.007525,               0.007525,               0.007525
                     51,                0.36049,                0.31966,                0.88146,                0.99741,                      1,                  0.995,                0.81188,                0.82853,                0.41541,                 1.3514,               0.007525,               0.007525,               0.007525
                     52,                0.39065,                0.36857,                0.88893,                  0.996,                      1,                  0.995,                0.79571,                0.86226,                0.37399,                 1.4209,              0.0074755,              0.0074755,              0.0074755
                     53,                0.40252,                 0.3115,                0.90284,                 0.9967,                      1,                  0.995,                0.78389,                0.87938,                0.39472,                 1.3997,               0.007426,               0.007426,               0.007426
                     54,                0.40925,                0.33603,                 0.8829,                0.99736,                      1,                  0.995,                0.79769,                0.85393,                0.40128,                 1.3732,              0.0073765,              0.0073765,              0.0073765
                     55,                0.43015,                0.30209,                0.87169,                0.99739,                      1,                  0.995,                 0.7814,                0.89231,                0.37758,                 1.4097,               0.007327,               0.007327,               0.007327
                     56,                0.43672,                0.33342,                0.90962,                0.99761,                      1,                  0.995,                0.79075,                0.85978,                0.38506,                 1.3633,              0.0072775,              0.0072775,              0.0072775
                     57,                0.45628,                0.36183,                0.90285,                 0.9976,                      1,                  0.995,                0.78191,                 0.8412,                0.40059,                  1.355,               0.007228,               0.007228,               0.007228
                     58,                0.41669,                0.32353,                 0.8924,                 0.9975,                      1,                  0.995,                0.73635,                0.89678,                0.43575,                 1.4951,              0.0071785,              0.0071785,              0.0071785
                     59,                0.43741,                0.32358,                0.91598,                0.99726,                      1,                  0.995,                0.75764,                0.87855,                0.39691,                 1.4587,               0.007129,               0.007129,               0.007129
                     60,                0.46511,                0.34601,                0.91501,                0.99721,                      1,                  0.995,                0.81584,                0.81578,                0.35185,                 1.3432,              0.0070795,              0.0070795,              0.0070795
                     61,                0.41241,                0.33794,                0.93572,                0.99611,                      1,                  0.995,                0.79926,                0.89936,                0.36443,                 1.4352,                0.00703,                0.00703,                0.00703
                     62,                0.41535,                0.31956,                0.90495,                0.99546,                      1,                  0.995,                 0.7977,                0.84488,                0.38486,                 1.4486,              0.0069805,              0.0069805,              0.0069805
                     63,                0.40145,                0.30096,                0.90006,                0.98842,                      1,                  0.995,                0.77906,                0.94035,                0.37581,                 1.5503,               0.006931,               0.006931,               0.006931
                     64,                0.40313,                0.30773,                0.92808,                0.98849,                      1,                  0.995,                0.79149,                0.84566,                0.37391,                 1.4623,              0.0068815,              0.0068815,              0.0068815
                     65,                0.41748,                0.31816,                0.91135,                0.94878,                      1,                0.99262,                 0.7699,                 0.8986,                0.41032,                 1.4996,               0.006832,               0.006832,               0.006832
                     66,                0.38166,                0.29694,                0.90144,                0.94857,                      1,                0.99262,                0.76932,                0.84752,                0.40441,                 1.4797,              0.0067825,              0.0067825,              0.0067825
                     67,                0.39885,                0.31105,                0.88201,                0.97399,                      1,                  0.995,                0.78548,                  0.875,                0.40275,                 1.5087,               0.006733,               0.006733,               0.006733
                     68,                0.39459,                0.30873,                0.89237,                0.94472,                      1,                0.99024,                0.77888,                0.82107,                0.39802,                 1.4672,              0.0066835,              0.0066835,              0.0066835
                     69,                0.41533,                0.30908,                0.89338,                0.94864,                      1,                0.99262,                0.81039,                0.77109,                0.37095,                 1.3838,               0.006634,               0.006634,               0.006634
                     70,                0.43828,                 0.3275,                0.89937,                0.94985,                      1,                0.99262,                0.78753,                0.83198,                0.37818,                 1.4542,              0.0065845,              0.0065845,              0.0065845
                     71,                0.44349,                0.34772,                0.90204,                0.90578,                      1,                0.98795,                0.80047,                 0.7962,                0.39409,                 1.3654,               0.006535,               0.006535,               0.006535
                     72,                0.39983,                0.31496,                0.88358,                0.94941,                      1,                0.99262,                0.80552,                0.80718,                0.36185,                 1.3942,              0.0064855,              0.0064855,              0.0064855
                     73,                0.36259,                0.30226,                0.88274,                0.97753,                      1,                  0.995,                0.77389,                0.86084,                0.36339,                 1.4669,               0.006436,               0.006436,               0.006436
                     74,                0.44357,                 0.3202,                0.89084,                0.97473,                      1,                  0.995,                0.77766,                0.86375,                0.38129,                 1.4898,              0.0063865,              0.0063865,              0.0063865
                     75,                0.39452,                0.31334,                0.91885,                0.97808,                      1,                  0.995,                0.79442,                0.85424,                0.36216,                  1.457,               0.006337,               0.006337,               0.006337
                     76,                0.42132,                0.32402,                0.89865,                0.97883,                      1,                  0.995,                0.77124,                0.87803,                0.41786,                  1.537,              0.0062875,              0.0062875,              0.0062875
                     77,                0.39827,                0.30977,                0.88424,                0.97237,                      1,                  0.995,                0.76692,                 0.9063,                0.38033,                 1.5553,               0.006238,               0.006238,               0.006238
                     78,                0.41661,                0.30283,                0.91288,                0.94885,                      1,                0.99262,                0.79565,                0.85393,                0.39418,                 1.4297,              0.0061885,              0.0061885,              0.0061885
                     79,                0.39703,                0.31258,                0.88544,                0.95088,                0.96843,                0.99262,                0.78598,                0.85784,                0.37138,                 1.4309,               0.006139,               0.006139,               0.006139
                     80,                0.38554,                  0.288,                 0.9076,                0.94952,                      1,                0.99262,                0.78407,                0.82316,                0.40848,                 1.3578,              0.0060895,              0.0060895,              0.0060895
                     81,                0.38652,                0.27928,                0.89898,                0.94656,                      1,                0.99024,                0.78011,                0.91919,                0.45527,                 1.4938,                0.00604,                0.00604,                0.00604
                     82,                0.39783,                0.27693,                0.88179,                0.94692,                      1,                0.99262,                0.77243,                0.85271,                0.39549,                 1.4202,              0.0059905,              0.0059905,              0.0059905
                     83,                0.38048,                0.28282,                  0.887,                0.94593,                      1,                0.99262,                 0.7578,                0.90549,                0.42462,                  1.442,               0.005941,               0.005941,               0.005941
                     84,                0.36688,                0.27659,                0.91471,                0.94381,                      1,                0.99024,                0.78009,                0.85872,                0.43082,                 1.4163,              0.0058915,              0.0058915,              0.0058915
                     85,                0.36494,                 0.2762,                0.86296,                 0.9451,                      1,                0.99262,                0.78915,                0.85249,                 0.4183,                 1.3803,               0.005842,               0.005842,               0.005842
                     86,                0.42839,                0.30577,                0.91878,                0.94466,                      1,                0.99262,                0.79848,                0.85774,                0.43365,                 1.4098,              0.0057925,              0.0057925,              0.0057925
                     87,                0.36051,                0.28655,                0.88486,                0.94747,                      1,                0.99262,                0.76915,                0.84204,                0.42578,                 1.3679,               0.005743,               0.005743,               0.005743
                     88,                0.37872,                0.27586,                0.87355,                0.94831,                      1,                0.99024,                0.77912,                0.89691,                0.45206,                 1.4143,              0.0056935,              0.0056935,              0.0056935
                     89,                0.39122,                0.29961,                0.93093,                0.94745,                      1,                0.99262,                0.76424,                 0.8986,                0.45558,                 1.3869,               0.005644,               0.005644,               0.005644
                     90,                0.41829,                0.29995,                0.87583,                0.95061,                      1,                  0.995,                0.74763,                0.88753,                0.40052,                 1.3894,              0.0055945,              0.0055945,              0.0055945
                     91,                0.38245,                0.30682,                0.86486,                0.95647,                      1,                  0.995,                0.74997,                0.87682,                0.43413,                 1.3668,               0.005545,               0.005545,               0.005545
                     92,                0.35675,                 0.2702,                0.89332,                 0.9461,                      1,                0.99262,                 0.7549,                0.85835,                0.42162,                 1.3561,              0.0054955,              0.0054955,              0.0054955
                     93,                0.40303,                 0.2962,                0.90128,                 0.9489,                      1,                0.99024,                0.78388,                0.88074,                0.40005,                 1.4642,               0.005446,               0.005446,               0.005446
                     94,                0.39329,                0.31054,                0.90806,                0.94773,                      1,                0.99262,                0.78873,                0.84796,                0.37847,                 1.4504,              0.0053965,              0.0053965,              0.0053965
                     95,                0.42555,                0.31026,                0.87907,                0.95234,                0.99907,                0.99024,                0.77597,                0.86279,                0.40793,                 1.4601,               0.005347,               0.005347,               0.005347
                     96,                0.37359,                0.28136,                0.85981,                0.94837,                      1,                0.99262,                0.78988,                0.82769,                0.38571,                 1.4052,              0.0052975,              0.0052975,              0.0052975
                     97,                0.36963,                 0.2628,                0.89159,                0.94877,                      1,                0.99262,                0.77594,                0.87279,                0.43422,                 1.4763,               0.005248,               0.005248,               0.005248
                     98,                  0.374,                0.28878,                0.86711,                      1,                0.99126,                  0.995,                0.79306,                0.84906,                0.40914,                 1.4182,              0.0051985,              0.0051985,              0.0051985
                     99,                0.38256,                0.30788,                 0.8643,                      1,                 0.9941,                  0.995,                0.77885,                0.83324,                0.43634,                 1.4353,               0.005149,               0.005149,               0.005149
                    100,                0.37894,                0.30396,                0.87361,                 0.9891,                      1,                  0.995,                 0.7703,                0.90756,                0.42109,                 1.4357,              0.0050995,              0.0050995,              0.0050995
                    101,                0.35201,                0.27712,                0.88785,                0.99493,                      1,                  0.995,                0.78159,                0.83985,                0.42368,                 1.3942,                0.00505,                0.00505,                0.00505
                    102,                0.37327,                0.28074,                0.88881,                      1,                0.99836,                  0.995,                0.80176,                0.83786,                0.46302,                 1.3901,              0.0050005,              0.0050005,              0.0050005
                    103,                0.33924,                 0.2617,                0.88091,                      1,                0.98938,                  0.995,                0.75738,                0.87225,                0.46855,                 1.4148,               0.004951,               0.004951,               0.004951
                    104,                0.34417,                0.26172,                0.86957,                0.99884,                      1,                  0.995,                 0.7774,                0.91118,                0.48223,                 1.4627,              0.0049015,              0.0049015,              0.0049015
                    105,                0.34833,                0.26568,                0.88056,                0.98866,                      1,                  0.995,                0.79182,                0.83762,                0.50994,                 1.3758,               0.004852,               0.004852,               0.004852
                    106,                0.37823,                0.28158,                0.88207,                0.98858,                      1,                  0.995,                0.77406,                0.91576,                 0.4443,                 1.5201,              0.0048025,              0.0048025,              0.0048025
                    107,                0.32632,                0.25425,                0.89259,                0.98294,                      1,                  0.995,                0.77781,                0.84351,                0.49491,                 1.4426,               0.004753,               0.004753,               0.004753
                    108,                0.35147,                 0.2753,                0.88604,                0.92532,                      1,                0.99262,                0.78998,                0.82234,                0.38243,                 1.4371,              0.0047035,              0.0047035,              0.0047035
                    109,                0.33822,                0.27335,                0.86562,                0.90814,                      1,                  0.995,                0.79475,                0.83253,                0.43245,                 1.4658,               0.004654,               0.004654,               0.004654
                    110,                0.35461,                0.27383,                0.86281,                0.93489,                      1,                  0.995,                0.79477,                 0.7916,                0.39588,                 1.4381,              0.0046045,              0.0046045,              0.0046045
                    111,                0.37562,                0.27618,                0.88852,                0.95044,                      1,                  0.995,                0.77978,                0.79512,                0.43934,                 1.4142,               0.004555,               0.004555,               0.004555
                    112,                0.33187,                0.25688,                0.86186,                 0.9512,                      1,                  0.995,                0.78046,                0.81144,                0.41908,                 1.4085,              0.0045055,              0.0045055,              0.0045055
                    113,                0.34111,                0.27966,                0.87163,                0.95209,                      1,                  0.995,                0.81371,                0.77841,                0.44533,                 1.3475,               0.004456,               0.004456,               0.004456
                    114,                0.35543,                0.26405,                0.87939,                0.98282,                      1,                  0.995,                0.79984,                  0.824,                0.42794,                 1.4226,              0.0044065,              0.0044065,              0.0044065
                    115,                 0.3641,                0.26961,                0.86793,                0.98142,                      1,                  0.995,                0.80253,                0.81804,                0.42555,                 1.4025,               0.004357,               0.004357,               0.004357
                    116,                0.29323,                 0.2426,                0.85428,                0.98146,                      1,                  0.995,                0.79302,                 0.8401,                0.39779,                 1.3942,              0.0043075,              0.0043075,              0.0043075
                    117,                0.32739,                0.29058,                0.84827,                0.99104,                      1,                  0.995,                0.79213,                0.87055,                 0.3804,                 1.3932,               0.004258,               0.004258,               0.004258
                    118,                0.31943,                0.26774,                0.86869,                0.99041,                      1,                  0.995,                0.82451,                 0.8286,                0.35889,                 1.3535,              0.0042085,              0.0042085,              0.0042085
                    119,                0.34705,                0.25952,                 0.8994,                0.98809,                      1,                  0.995,                0.81477,                0.83286,                0.39944,                 1.3587,               0.004159,               0.004159,               0.004159
                    120,                0.33663,                0.26056,                0.88676,                0.98652,                      1,                  0.995,                 0.8072,                0.83757,                0.37931,                 1.3332,              0.0041095,              0.0041095,              0.0041095
                    121,                0.33645,                0.25196,                0.85243,                      1,                0.99962,                  0.995,                0.82466,                0.80771,                0.35403,                 1.3088,                0.00406,                0.00406,                0.00406
